날짜,패션의류
2019-12-21,55
2019-12-22,65
2019-12-23,55
2019-12-24,44
2019-12-25,57
2019-12-26,52
2019-12-27,47
2019-12-28,53
2019-12-29,61
2019-12-30,51
2019-12-31,43
